X,Y
-9.953748212998527745e-01,-7.344965213968820406e-01
-9.990164766155414933e-01,-7.367283321926085815e-01
-9.977300189376048234e-01,-7.461236258690286949e-01
-1.001234586754259581e+00,-7.410286569614217278e-01
-9.973904606876904388e-01,-7.467364092818000731e-01
-1.000100292610483388e+00,-7.465174154723224209e-01
-1.001402096004700537e+00,-7.413058585626184360e-01
-1.002430819007818386e+00,-7.347999019581988867e-01
-9.967960689712143107e-01,-7.359431390477604307e-01
-9.909322873946133647e-01,-7.278410872856725389e-01
-9.949853179608788567e-01,-7.243433807165471361e-01
-9.905659060298210861e-01,-7.207589790500643634e-01
-1.001767044733478551e+00,-7.226955776412546939e-01
3.650649162662585878e-01,-3.205968112738680209e-01
-9.982548289256359952e-01,-7.240421963266989724e-01
-9.972960527375371864e-01,-7.222179422835853790e-01
3.760712081844510557e-01,-3.140914164792405483e-01
-1.001903903451874411e+00,-7.189876430027249965e-01
3.696669411095154789e-01,-3.172800778665228472e-01
-1.008066194021140394e+00,-7.212045741375052721e-01
3.702207186622171742e-01,-3.096794294989794194e-01
-1.011780143728031822e+00,-7.228434717083529470e-01
3.633074855222642174e-01,-3.140747417686365894e-01
-1.009717347589144998e+00,-7.256086109575075049e-01
3.634039898765948351e-01,-3.192504875281717558e-01
-1.010130544225064098e+00,-7.240757709449271440e-01
-1.011278666704110263e+00,-7.276431116489870954e-01
-1.011721134274767842e+00,-7.295611248846782804e-01
-1.012133999453615152e+00,-7.212581187962529006e-01
-1.013693359666069327e+00,-7.164009783733195080e-01
-1.019613995421961850e+00,-7.124586757408951643e-01
-1.022296880862415325e+00,-7.135903700010701733e-01
-1.016192475365541359e+00,-7.209847745380154604e-01
-1.013440792031160109e+00,-7.244293588056051059e-01
-1.011777900139055220e+00,-7.286289282093029174e-01
-1.014291810212881062e+00,-7.264749976534821130e-01
-1.016597826921877168e+00,-7.282475283063961635e-01
-1.013870912310788741e+00,-7.265655617429224167e-01
-1.005060821244371017e+00,-7.297572058213416257e-01
-9.972503914095705024e-01,-7.302705544097412016e-01
-9.989905594483274864e-01,-7.296002205851571665e-01
-9.985431966604562115e-01,-7.279709594517863591e-01
-9.983091958764460649e-01,-7.284514853828590875e-01
-9.962691310577400650e-01,-7.309087946503827204e-01
-9.951832222891292545e-01,-7.331793943260874746e-01
-9.926145436336210048e-01,-7.363299661797029216e-01
-9.883905038439868562e-01,-7.380439483756930930e-01
-9.928146671880158092e-01,-7.347154954600259025e-01
-9.993266176714525884e-01,-7.425419867634888149e-01
-9.888030996313601495e-01,-7.396945796374825299e-01
-9.929823757044449195e-01,-7.363943517671691641e-01
-9.944403487317912127e-01,-7.341865339899417142e-01
-9.978136905223312647e-01,-7.420640649557743718e-01
3.778487210883253455e-01,-3.315477537680184827e-01
-9.996739195370504261e-01,-7.410273771437461132e-01
3.757733806561404100e-01,-3.207325875272349358e-01
-9.897953331735718230e-01,-7.463569669477204682e-01
3.915707495782000391e-01,-3.283835861361315556e-01
-9.857798449337525915e-01,-7.443288565147905267e-01
3.941604094353285959e-01,-3.232375998706108478e-01
-9.864857380222835648e-01,-7.357924611076499533e-01
3.971127811492807247e-01,-3.232497086228732774e-01
-9.923898345659525333e-01,-7.356939479718571651e-01
3.919484214682412704e-01,-3.217611559448376735e-01
-9.876563905966897483e-01,-7.399605211828746976e-01
4.003396572128092856e-01,-3.282140612088311760e-01
-9.952575048147962455e-01,-7.371212389162576928e-01
3.940007642445073621e-01,-3.263476277490281463e-01
-9.924755356865608835e-01,-7.335954014533243583e-01
3.972212105870839283e-01,-3.259317999962410561e-01
-9.956290238311058527e-01,-7.268019413520389049e-01
3.922220096058893768e-01,-3.212488870757016501e-01
-9.985630575163557676e-01,-7.276640578288335881e-01
3.888332224082675648e-01,-3.189740067628202835e-01
3.913858509034137123e-01,-3.140413194364922167e-01
3.952548925469568375e-01,-3.158179077578076588e-01
3.916808331530767795e-01,-3.185205593246107081e-01
3.868624169378394595e-01,-3.207690415068293888e-01
3.783711146279786774e-01,-3.245159886077919609e-01
3.782205952378635549e-01,-3.289930019994218857e-01
3.709157595434310339e-01,-3.312595855844646664e-01
3.711380389736814722e-01,-3.326820832540201556e-01
3.747332521689219487e-01,-3.338182283038374498e-01
3.746105747497690541e-01,-3.307591122347121604e-01
3.817566431639992652e-01,-3.252397971068985427e-01
3.861567280867219676e-01,-3.249085107031426389e-01
3.899888609579684196e-01,-3.240044966628756740e-01
3.856792391038416645e-01,-3.230879850070005332e-01
3.811465110148388735e-01,-3.208384803203433444e-01
3.817312797552374626e-01,-3.263685100571151465e-01
3.720726375229814198e-01,-3.268761265207936195e-01
3.672543630268639836e-01,-3.250449521840319544e-01
3.676344730191608012e-01,-3.311995184552742888e-01
3.677419840736031453e-01,-3.306376780068827070e-01
3.657374511132788220e-01,-3.268763710913450415e-01
3.621556476267073221e-01,-3.251021169335737704e-01
3.602281175544447822e-01,-3.255281981040235029e-01
3.609149944619949868e-01,-3.282120628546683627e-01
3.593290622000114842e-01,-3.323595993107997248e-01
3.586102141155619316e-01,-3.284588815581664378e-01
3.562531934271060963e-01,-3.196277872961222899e-01
3.588967966956021494e-01,-3.149804605048006634e-01
3.694821497474049532e-01,-3.144271528311345376e-01
3.723227518525596413e-01,-3.211768944054702590e-01
3.806788985155095117e-01,-3.251880389634959068e-01
3.785842669088707035e-01,-3.146329205224039915e-01
3.791921505300605011e-01,-3.154989556709202336e-01
3.859435155827987129e-01,-3.158180570513942076e-01
3.984614996753025884e-01,-3.220073165808026716e-01
3.919596579198994513e-01,-3.281759562100711181e-01
3.986831258251601895e-01,-3.248336371447874127e-01
4.105510018650593285e-01,-3.295116476874832556e-01
4.014194374777524943e-01,-3.334282022468818552e-01
3.905924523722063002e-01,-3.342101592979037084e-01
3.933179073694242911e-01,-3.340630725102078369e-01
3.838371884309357274e-01,-3.326491961823780930e-01
3.878687539237008486e-01,-3.301403046155895193e-01
3.787545085760838370e-01,-3.238442176314541010e-01
3.811787971839153411e-01,-3.296801842166957597e-01
